step,alive,fused_us
0,1000000,3157.869
1,1000000,3044.730
2,1000000,3156.163
3,1000000,3168.109
4,1000000,3166.804
5,1000000,3171.020
6,1000000,3169.213
7,1000000,3234.969
8,1000000,3104.061
9,1000000,3024.752
10,1000000,3034.088
11,1000000,3044.128
12,1000000,3053.665
13,1000000,3054.367
14,1000000,3066.715
15,1000000,3039.309
16,1000000,3383.948
17,1000000,3088.701
18,1000000,3028.165
19,1000000,3047.340
20,1000000,3037.200
21,1000000,3048.545
22,1000000,3035.293
23,1000000,3035.795
24,1000000,3057.479
25,1000000,3054.568
26,1000000,3038.305
27,1000000,3052.560
28,1000000,3141.707
29,1000000,3183.168
30,1000000,3165.198
31,1000000,3165.801
32,1000000,3181.561
33,1000000,3185.276
34,1000000,3157.367
35,1000000,3160.279
36,1000000,3208.265
37,1000000,3179.052
38,1000000,3160.780
39,1000000,3161.885
40,1000000,3105.064
41,1000000,3039.911
42,1000000,3029.169
43,1000000,3039.108
44,1000000,3028.065
45,1000000,3046.537
46,1000000,3030.073
47,1000000,3037.000
48,1000000,3055.070
49,1000000,3010.998
50,1000000,3034.088
51,1000000,3050.251
52,1000000,3024.350
53,1000000,3020.234
54,1000000,3023.848
55,1000000,3036.598
56,1000000,3064.306
57,1000000,3021.239
58,1000000,3041.216
59,1000000,3075.310
60,1000000,3056.761
61,1000000,3065.696
62,1000000,3159.466
63,1000000,3185.167
64,1000000,3068.205
65,1000000,3051.741
66,1000000,3042.002
67,1000000,3044.713
68,1000000,3041.300
69,1000000,3047.825
70,1000000,3072.623
71,1000000,3166.695
72,1000000,3107.561
73,1000000,3026.541
74,1000000,3026.140
75,1000000,3059.069
76,1000000,3034.774
77,1000000,3021.119
78,1000000,3025.839
79,1000000,3070.615
80,1000000,3048.528
81,1000000,3039.090
82,1000000,3050.535
83,1000000,3134.065
84,1000000,3116.797
85,1000000,3152.438
86,1000000,3179.244
87,1000000,3171.915
88,1000000,3150.731
89,1000000,3190.187
90,1000000,3151.836
91,1000000,3178.842
92,1000000,3153.642
93,1000000,3195.006
94,1000000,3170.710
95,1000000,3220.306
96,1000000,3162.076
97,1000000,3071.016
98,1000000,3040.898
99,1000000,3048.628
100,1000000,3021.120
101,1000000,3059.973
102,1000000,3042.404
103,1000000,3077.141
104,1000000,3075.033
105,1000000,3062.182
106,1000000,3047.724
107,1000000,3082.161
108,1000000,3073.326
109,1000000,3061.981
110,1000000,3155.650
111,1000000,3150.731
112,1000000,3246.509
113,1000000,3049.733
114,1000000,3032.464
115,1000000,3023.530
116,1000000,3026.140
117,1000000,3036.179
118,1000000,3056.961
119,1000000,3059.772
120,1000000,3069.411
121,1000000,3066.800
122,1000000,3051.540
123,1000000,3086.578
124,1000000,3088.084
125,1000000,3136.776
126,1000000,3168.601
127,1000000,3179.545
128,1000000,3321.807
129,1000000,3046.018
130,1000000,3034.272
131,1000000,3045.717
132,1000000,3069.612
133,1000000,3075.534
134,1000000,3117.500
135,1000000,3076.739
136,1000000,3271.407
137,1000000,3046.620
138,1000000,3049.933
139,1000000,3135.170
140,1000000,3169.305
141,1000000,3282.351
142,1000000,3166.895
143,1000000,3197.616
144,1000000,3550.910
145,1000000,3112.480
146,1000000,3031.461
147,1000000,3041.299
148,1000000,3037.183
149,1000000,3066.498
150,1000000,3054.250
151,1000000,3024.433
152,1000000,3106.657
153,1000000,3037.785
154,1000000,3070.314
155,1000000,3058.065
156,1000000,3055.255
157,1000000,3031.360
158,1000000,3033.569
159,1000000,3049.130
160,1000000,3040.797
161,1000000,3039.191
162,1000000,3028.047
163,1000000,3034.673
164,1000000,3041.099
165,1000000,3055.355
166,1000000,3049.331
167,1000000,3061.379
168,1000000,3129.046
169,1000000,3062.583
170,1000000,3045.516
171,1000000,3020.116
172,1000000,3043.508
173,1000000,3073.526
174,1000000,3052.544
175,1000000,3020.116
176,1000000,3254.440
177,1000000,3095.714
