step,alive,fused_us
0,1000000,448.265
1,1000000,521.942
2,1000000,464.081
3,1000000,447.364
4,1000000,450.368
5,1000000,494.012
6,1000000,456.674
7,1000000,437.354
8,1000000,438.155
9,1000000,445.962
10,1000000,471.690
11,1000000,501.621
12,1000000,530.050
13,1000000,451.868
14,1000000,479.697
15,1000000,521.641
16,1000000,510.030
17,1000000,439.556
18,1000000,526.546
19,1000000,482.501
20,1000000,469.587
21,1000000,455.873
22,1000000,446.663
23,1000000,462.579
24,1000000,482.701
25,1000000,442.259
26,1000000,448.665
27,1000000,524.744
28,1000000,448.565
29,1000000,430.047
30,1000000,435.152
31,1000000,435.352
32,1000000,516.936
33,1000000,439.556
34,1000000,512.031
35,1000000,441.858
36,1000000,519.338
37,1000000,467.185
38,1000000,523.343
39,1000000,494.813
40,1000000,446.163
41,1000000,515.235
42,1000000,521.642
43,1000000,502.722
44,1000000,451.269
45,1000000,513.232
46,1000000,459.878
47,1000000,500.320
48,1000000,452.570
49,1000000,495.213
50,1000000,452.670
51,1000000,517.137
52,1000000,440.343
53,1000000,450.157
54,1000000,449.256
55,1000000,491.217
56,1000000,436.838
57,1000000,471.889
58,1000000,455.865
59,1000000,510.646
60,1000000,451.359
61,1000000,494.822
62,1000000,522.864
63,1000000,442.346
64,1000000,480.100
65,1000000,527.269
66,1000000,505.338
67,1000000,453.261
68,1000000,516.454
69,1000000,483.506
70,1000000,469.185
71,1000000,433.233
72,1000000,515.253
73,1000000,463.577
74,1000000,535.281
75,1000000,451.660
76,1000000,504.837
77,1000000,449.656
78,1000000,505.138
79,1000000,437.438
80,1000000,433.633
81,1000000,451.359
82,1000000,498.127
83,1000000,435.636
84,1000000,444.248
85,1000000,495.623
86,1000000,485.910
87,1000000,437.138
88,1000000,482.304
89,1000000,458.970
90,1000000,514.952
91,1000000,461.274
92,1000000,529.673
93,1000000,510.545
94,1000000,451.258
95,1000000,516.254
96,1000000,457.668
97,1000000,508.742
98,1000000,454.363
99,1000000,514.651
100,1000000,437.238
101,1000000,450.658
102,1000000,459.170
103,1000000,521.561
104,1000000,434.734
105,1000000,452.961
106,1000000,454.264
107,1000000,522.362
108,1000000,468.484
109,1000000,505.738
110,1000000,510.946
111,1000000,447.053
112,1000000,460.272
113,1000000,530.074
114,1000000,486.610
115,1000000,443.448
116,1000000,529.073
117,1000000,496.825
118,1000000,441.444
119,1000000,451.760
120,1000000,526.568
121,1000000,435.536
122,1000000,522.663
123,1000000,465.880
124,1000000,580.047
125,1000000,462.675
126,1000000,464.878
127,1000000,445.650
128,1000000,448.555
129,1000000,451.359
130,1000000,520.660
131,1000000,449.356
132,1000000,448.555
133,1000000,520.661
134,1000000,461.173
135,1000000,430.728
136,1000000,436.838
137,1000000,524.766
138,1000000,506.439
139,1000000,437.839
140,1000000,523.064
141,1000000,526.168
142,1000000,447.954
143,1000000,451.258
144,1000000,498.327
145,1000000,522.562
146,1000000,441.946
147,1000000,521.762
148,1000000,460.973
149,1000000,449.356
150,1000000,452.260
151,1000000,503.936
152,1000000,452.761
153,1000000,446.752
154,1000000,449.255
155,1000000,513.950
156,1000000,449.056
157,1000000,511.747
158,1000000,462.575
159,1000000,486.811
160,1000000,458.269
161,1000000,546.198
162,1000000,447.554
163,1000000,436.537
164,1000000,457.167
165,1000000,510.345
166,1000000,447.954
167,1000000,441.945
168,1000000,481.503
169,1000000,442.546
170,1000000,470.087
171,1000000,485.909
172,1000000,493.020
173,1000000,445.851
174,1000000,448.755
175,1000000,445.250
176,1000000,516.053
177,1000000,440.743
178,1000000,498.929
179,1000000,441.344
180,1000000,506.239
181,1000000,490.416
182,1000000,479.600
183,1000000,438.440
184,1000000,465.479
185,1000000,517.856
186,1000000,452.761
187,1000000,439.241
188,1000000,452.761
189,1000000,514.851
190,1000000,510.245
191,1000000,441.745
192,1000000,454.463
193,1000000,535.482
194,1000000,445.951
195,1000000,484.508
196,1000000,480.301
197,1000000,495.523
198,1000000,439.942
199,1000000,509.143
200,1000000,447.153
201,1000000,440.443
202,1000000,435.436
203,1000000,518.357
204,1000000,453.061
205,1000000,448.455
206,1000000,462.175
207,1000000,522.763
208,1000000,439.141
209,1000000,461.774
210,1000000,527.269
211,1000000,440.142
212,1000000,459.471
213,1000000,507.441
214,1000000,446.452
215,1000000,442.146
216,1000000,445.350
217,1000000,505.137
218,1000000,443.949
219,1000000,505.337
220,1000000,467.583
221,1000000,450.958
222,1000000,435.435
223,1000000,447.854
224,1000000,517.957
225,1000000,440.643
226,1000000,437.939
227,1000000,460.172
228,1000000,482.604
229,1000000,438.440
230,1000000,442.746
231,1000000,456.867
232,1000000,540.289
233,1000000,444.549
234,1000000,453.462
235,1000000,447.454
236,1000000,555.511
237,1000000,480.001
238,1000000,444.549
239,1000000,556.011
240,1000000,453.462
241,1000000,542.992
242,1000000,443.547
243,1000000,445.250
244,1000000,450.858
245,1000000,531.276
246,1000000,440.644
247,1000000,513.851
248,1000000,490.917
249,1000000,448.255
250,1000000,440.242
251,1000000,529.173
252,1000000,540.088
253,1000000,437.038
254,1000000,513.649
255,1000000,548.000
256,1000000,487.412
257,1000000,452.360
258,1000000,556.312
259,1000000,430.930
260,1000000,504.436
261,1000000,454.664
262,1000000,432.231
263,1000000,531.876
264,1000000,434.634
265,1000000,431.730
266,1000000,444.149
267,1000000,428.325
268,1000000,467.182
269,1000000,448.856
270,1000000,470.987
271,1000000,444.248
272,1000000,519.959
273,1000000,440.844
274,1000000,510.245
275,1000000,538.887
276,1000000,439.142
277,1000000,523.665
278,1000000,539.788
279,1000000,435.737
