step,alive,fused_us
0,1000000,392.117
1,1000000,470.621
2,1000000,397.237
3,1000000,390.912
4,1000000,386.997
5,1000000,470.319
6,1000000,383.784
7,1000000,460.281
8,1000000,468.512
9,1000000,388.403
10,1000000,391.013
11,1000000,442.512
12,1000000,401.754
13,1000000,463.293
14,1000000,391.715
15,1000000,402.156
16,1000000,424.241
17,1000000,464.598
18,1000000,382.279
19,1000000,410.287
20,1000000,395.129
21,1000000,406.774
22,1000000,394.024
23,1000000,397.839
24,1000000,470.922
25,1000000,423.840
26,1000000,406.974
27,1000000,396.634
28,1000000,416.913
29,1000000,377.059
30,1000000,412.596
31,1000000,382.680
32,1000000,400.048
33,1000000,406.271
34,1000000,406.573
35,1000000,382.379
36,1000000,386.295
37,1000000,462.188
38,1000000,388.101
39,1000000,461.083
40,1000000,400.550
41,1000000,415.306
42,1000000,398.943
43,1000000,440.203
44,1000000,383.985
45,1000000,460.983
46,1000000,414.002
47,1000000,391.715
48,1000000,397.036
49,1000000,391.414
50,1000000,453.254
51,1000000,466.705
52,1000000,397.337
53,1000000,402.256
54,1000000,435.485
55,1000000,422.234
56,1000000,468.512
57,1000000,395.028
58,1000000,391.716
59,1000000,444.519
60,1000000,475.841
61,1000000,395.932
62,1000000,437.894
63,1000000,383.785
64,1000000,404.565
65,1000000,409.384
66,1000000,420.025
67,1000000,392.619
68,1000000,468.512
69,1000000,397.136
70,1000000,453.655
71,1000000,395.329
72,1000000,399.847
73,1000000,390.210
74,1000000,416.612
75,1000000,451.045
76,1000000,440.303
77,1000000,399.044
78,1000000,384.286
79,1000000,443.214
80,1000000,450.241
81,1000000,461.686
82,1000000,404.264
83,1000000,398.843
84,1000000,468.814
85,1000000,456.365
86,1000000,398.140
87,1000000,431.670
88,1000000,384.387
89,1000000,400.650
90,1000000,476.543
91,1000000,396.935
92,1000000,393.422
93,1000000,452.551
94,1000000,409.786
95,1000000,387.700
96,1000000,391.213
97,1000000,453.354
98,1000000,398.843
99,1000000,398.642
100,1000000,418.117
101,1000000,432.573
102,1000000,396.735
103,1000000,473.130
104,1000000,526.135
105,1000000,466.204
106,1000000,398.542
107,1000000,392.017
108,1000000,456.265
109,1000000,457.068
110,1000000,402.658
111,1000000,393.221
112,1000000,437.191
113,1000000,396.936
114,1000000,434.983
115,1000000,396.634
116,1000000,448.636
117,1000000,403.461
118,1000000,409.283
